report_id,length_ratio,chrf,ter,cosine_sim,bertscore_p,bertscore_r,bertscore_f1
RPT_000003,0.9245283018867925,52.622122848016595,0.660377358490566,0.9090020656585693,0.9551185369491577,0.9543882012367249,0.9547532200813293
RPT_000004,0.9772727272727273,53.24638616379692,0.6590909090909091,0.8594762682914734,0.9577538371086121,0.9552246928215027,0.9564875960350037
RPT_000005,0.9833333333333333,56.55287557021145,0.5916666666666667,0.9436150789260864,0.9598053693771362,0.9595084190368652,0.9596568942070007
RPT_000006,0.9540229885057471,59.02936200124432,0.632183908045977,0.9526562690734863,0.9601641297340393,0.9569881558418274,0.9585735201835632
RPT_000007,0.9900990099009901,55.600856772762,0.6435643564356436,0.8989839553833008,0.9570876955986023,0.9548892974853516,0.9559871554374695
RPT_000008,0.9818181818181818,54.19338377780283,0.6727272727272726,0.9605551958084106,0.9573861956596375,0.9548219442367554,0.9561024308204651
RPT_000009,0.9615384615384616,49.59531191385724,0.7307692307692306,0.9191456437110901,0.9539426565170288,0.9553351402282715,0.9546383619308472
RPT_000010,0.9487179487179487,54.88693132943418,0.6025641025641025,0.9553831815719604,0.9517534375190735,0.9490780830383301,0.9504138827323914
RPT_000011,0.9857142857142858,55.185715531274916,0.657142857142857,0.9326221942901611,0.9605887532234192,0.9616190791130066,0.961103618144989
RPT_000012,1.0333333333333334,60.24305240642893,0.6,0.9814068078994751,0.9613115191459656,0.9618597626686096,0.961585521697998
RPT_000013,1.0,59.036324657975726,0.6111111111111112,0.9444479942321777,0.9606927633285522,0.9607828259468079,0.9607377648353577
RPT_000014,0.9659090909090909,54.07473156277349,0.6363636363636364,0.9258484244346619,0.9588963985443115,0.957962155342102,0.9584290385246277
RPT_000015,1.0140845070422535,57.71720641092274,0.6197183098591549,0.9326943159103394,0.9631177186965942,0.963618278503418,0.9633679389953613
RPT_000016,0.9183673469387755,49.390295962617216,0.7551020408163265,0.9389861226081848,0.947968065738678,0.947181224822998,0.9475744962692261
RPT_000017,1.0,56.62788556925341,0.6470588235294117,0.9444479942321777,0.9592888951301575,0.9600584506988525,0.9596735835075378
RPT_000018,0.9487179487179487,59.73269286244908,0.5897435897435898,0.9356739521026611,0.9600703120231628,0.9580222964286804,0.9590451717376709
RPT_000019,0.9777777777777777,59.19627994771815,0.6,0.9055606126785278,0.9617418050765991,0.9600365161895752,0.9608883857727051
RPT_000020,0.9764705882352941,53.39519357949472,0.6352941176470588,0.9250478148460388,0.9509205222129822,0.9504063129425049,0.9506633281707764
RPT_000021,0.9655172413793104,54.473397381139456,0.6551724137931035,0.9415664076805115,0.9612002968788147,0.9591189026832581,0.9601585268974304
RPT_000022,1.0,56.28275828146416,0.6111111111111112,0.9421276450157166,0.9543224573135376,0.9541282653808594,0.9542253017425537
RPT_000023,0.96,53.193150318107875,0.7,0.9792317748069763,0.9530835151672363,0.9527371525764465,0.9529103636741638
RPT_000024,0.9508196721311475,52.48844038922821,0.6721311475409836,0.9470683932304382,0.958541214466095,0.9563037157058716,0.9574211835861206
RPT_000025,0.9565217391304348,56.47985745621745,0.6304347826086957,0.9247673153877258,0.9601876735687256,0.9569017291069031,0.9585418701171875
RPT_000026,0.9605263157894737,51.61395160113925,0.7236842105263157,0.9333211183547974,0.9592263698577881,0.9570015668869019,0.9581126570701599
RPT_000027,0.96875,58.91005513879294,0.625,0.929418683052063,0.9637547135353088,0.9631604552268982,0.9634575247764587
RPT_000028,0.948051948051948,59.99104251620116,0.5714285714285714,0.945486307144165,0.9579071402549744,0.9561880826950073,0.9570468664169312
